Phishing URL,Phishing Sent,Reported Date,Type,Theme,Sender,Config/Key,Source,Analysis Link
hxxp://tinyurl[.]com/4nbjbmtk?WqL=VHcHvrRoO7,n/a,n/a,n/a,Parcel,n/a,hxxps://posehomeexpressdelivery-my[.]top/9oE7kU?WqL=VHcHvrRoO7,https://www.pos.com.my/scam-update,n/a
hxxps://bit[.]ly/_Pos-malaysia,n/a,n/a,n/a,Pos Malaysia,n/a,hxxps://correouyapp[.]life/2E8uMc,https://www.pos.com.my/scam-update,https://linkunshorten.com/?url=bit.ly%2F_Pos-malaysia
hxxps://meaytnk[.]xyz/m,250717 17:01,250717 17:23,Fake BTS,Maybank,66628,n/a,https://x.com/ly_sim_/status/1945776265476334000,n/a
maymau[.]xyz,250717 16:30,250717 16:50,Smishing,Maybank,n/a,n/a,https://x.com/vandershraaf/status/1945768110968987661,n/a
hxxps://info-pos[.]click/my,250710 17:37,250710 18:14,Smishing,Pos Malaysia,"""+905347971180""",n/a,https://x.com/RamananSree/status/1943252511584063771,n/a
hxxps://jteprss[.]top/my,250529 15:26,250529 15:39,Fake BTS,J&T Express,n/a,n/a,https://x.com/RabbitBelaCat/status/1927993169842422160,n/a
hxxps://jtepres[.]top/my,250506 11:33,250506 11:44,Fake BTS,J&T Express,n/a,n/a,https://x.com/sharidzuan_/status/1919599045364092988,n/a
hxxps://maybankmd2u[.]com/my,250424 14:37,250424 14:47,Smishing,Maybank Rewards,n/a,n/a,https://x.com/izardyamir/status/1915296400256213206,n/a
hxxps://mybkrwds[.]top/rwds,n/a,250420 12:50,Smishing,Maybank Rewards,n/a,n/a,https://x.com/Nazkhii/status/1913817540389945563,n/a
hxxps://mbankr[.]top/rwds,250418 13:36,250418 13:45,Smishing,Maybank Rewards,n/a,n/a,https://x.com/crazymalaysian/status/1913106693631983876,n/a
hxxps://maybanko2u-com[.]cc/my,250415 17:11,250415 17:20,Smishing,Maybank Rewards,n/a,n/a,https://x.com/izardyamir/status/1912073448794587482,n/a
hxxps://maybank2u[.]lat/My,250410 17:03,250414 15:41,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/VincentChow33/status/1911686334860710143,n/a
hxxps://mybankrwe[.]top/rewards,250321 13:47,250414 15:41,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/VincentChow33/status/1911686334860710143,n/a
hxxps://maybakrew[.]top/2u,n/a,250414 15:41,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/VincentChow33/status/1911686334860710143,n/a
hxxps://maybank2u[.]lat/My,250410 16:40,250410 16:43,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/A_Hxrrxz/status/1910252255929860522,n/a
hxxps://maybank2u[.]in/My/rewards,250408 16:45,250408 18:03,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/eddienglfc/status/1909547695058133291,n/a
hxxps://maybank2su[.]top,250408 17:51,250408 17:55,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/syafeeqKL/status/1909545611948703809,n/a
hxxps://maybank-2um[.]vip/my,250323 13:30,250408 17:55,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/syafeeqKL/status/1909545611948703809,n/a
hxxps://mybenkrwd[.]top/rwds,250406 18:54,250406 18:56,Smishing,Maybank Rewards,n/a,n/a,https://x.com/Nashman/status/1908836191866429614,n/a
maybank2u[.]me/My,250402 18:50,250406 18:56,Smishing,Maybank Rewards,n/a,n/a,https://x.com/Nashman/status/1908836191866429614,n/a
hxxps://maybank-2u[.]pro/mbk,250328 11:03,250402 21:02,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/mikeyipdotcom/status/1907418477012680980,n/a
hxxps://maybankn2u[.]top/my,250326 14:43,250326 14:50,Smishing,Maybank Rewards,n/a,n/a,https://x.com/raafikaziz/status/1904788141367845048,n/a
hxxps://maybank-2uz[.]vip/my,250324 13:42,250324 13:51,Smishing,Maybank Rewards,n/a,n/a,https://x.com/ragu91/status/1904048516865159284,n/a
hxxps://maybank-2um[.]vip/my,250323 13:30,250323 13:37,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/syafeeqKL/status/1903682596812538228,n/a
hxxps://maybankeu[.]top/2u,250305 10:58,250320 14:48,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/MichaelLoh117/status/1902613112752369699,n/a
hxxps://malybank2uq[.]top,250320 11:29,250320 14:48,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/MichaelLoh117/status/1902613112752369699,n/a
hxxps://mybankus[.]top/rewards,250318 18:38,250318 23:49,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/KimuTakuReds/status/1902024531067523372,n/a
hxxps://cimbrdwes[.]top/rewards,250309 16:07,250309 16:19,Smishing,CIMB Rewards,n/a,n/a,https://x.com/emmnh_/status/1898649767070347444,n/a
hxxps://joinxvx2025[.]my[.]id/tz6,250306 14:58,250309 13:14,Telegram Phishing,KWSP,t[.]me/KWSPbersasar ,n/a,https://x.com/sahirzulkifli/status/1898422001477603686,n/a
hxxps://maybank2uk[.]com/my,250307 16:46,250307 20:30,Smishing,Maybank Rewards,n/a,n/a,https://x.com/faizjamalizan/status/1897988217900855414,n/a
hxxps://maybankou[.]top/2u,250307 17:05,250307 17:18,Smishing,Maybank Rewards,n/a,n/a,https://x.com/v_ViCkN3S/status/1897939910033916328,n/a
hxxps://maybankck2u[.]com/my,250228 17:51,250303 16:28,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/trancedisorder/status/1896477653705867639,n/a
hxxps://cimrerds[.]top/rewards,250228 15:18,250228 16:11,Fake BTS,CIMB Rewards,68833,n/a,https://x.com/devaanand5/status/1895386409193873629,n/a
hxxps://My-JPJi[.]vip/MyJPJ,250225 16:14,250225 16:34,Fake BTS,MyJPJ,n/a,n/a,https://x.com/calvingsc/status/1894304836176547936,n/a
hxxps://maxisxis-ink[.]me/my,250127 14:40,250127 14:43,iMessage,Maxis Rewards,"""+639391284925""",n/a,https://x.com/damien_thanam/status/1883767868246155611,n/a
hxxps://bit[.]ly/me-mae-digital,n/a,250123 19:07,Phishing,Maybank,n/a,hxxps://oscoxc[.]com/me,https://x.com/nurulnyot86/status/1882384736901116153,https://t.ly/tools/link-expander/?url=https%3A%2F%2Fbit.ly%2Fme-mae-digital
hxxps://cimbcilkcss[.]top/i,250114 13:08,250114 13:09,Fake BTS,CIMB Rewards,n/a,n/a,https://x.com/izzat044/status/1879033155338084627,n/a
hxxps://cimb-click[.]info/rewards/en,250113 10:08,250113 10:54,n/a,CIMB Rewards,n/a,n/a,https://x.com/Houdini_My/status/1878636827877474810,n/a
hxxps://cimbreswrdss[.]top/i,250112 17:01,250112 19:17,Fake BTS,CIMB Rewards,n/a,n/a,https://x.com/leemarkkk2/status/1878400948650823903,n/a
cimbdyn[.]de,250111 19:05,250111 19:08,Smishing,CIMB Rewards,n/a,n/a,https://x.com/syapeilukman/status/1878036164843888785,n/a
hxxps://cimbclikcs[.]top/i,250111 11:06,250111 13:25,n/a,CIMB Rewards,n/a,n/a,https://x.com/Houdini_My/status/1877949994025763054,n/a
hxxps://cimbclick[.]myen[.]top/rewards/en,250109 16:54,250110 14:13,Fake BTS,CIMB Rewards,68333,n/a,https://x.com/riyuna_lee/status/1877599683054334351,n/a
hxxps://cimbclick[.]myen[.]top/rewards/en,250109 19:24,250109 20:38,n/a,CIMB Rewards,n/a,n/a,https://x.com/Nashman/status/1877334147791991239,n/a
hxxps://cimb-clickscd[.]vip/limit,250107 16:46,250107 16:51,Fake BTS,CIMB Rewards,n/a,n/a,https://x.com/JyohnDoe/status/1876552300891975725,https://x.com/RationalGuy911/status/1875884392171872523
hxxps://maybanksc2u[.]com/my,250105 12:56,250105 17:49,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/RationalGuy911/status/1875842124664725569,https://x.com/RationalGuy911/status/1875884392171872523
hxxps://maybankse2u[.]com/my,250105 17:46,250105 17:49,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/RationalGuy911/status/1875842124664725569,https://x.com/RationalGuy911/status/1875884392171872523
hxxps://cimbclicke[.]top/i,250105 15:31,250105 17:39,n/a,CIMB Rewards,n/a,n/a,https://x.com/wilsonyimby/status/1875839627199963528,n/a
hxxps://maybanku2u[.]com/my,250103 18:20,250104 21:04,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/RationalGuy911/status/1875528805315695093,https://x.com/RationalGuy911/status/1875884392171872523
hxxps://maybankss2u[.]com/my,250104 11:09,250104 21:04,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/RationalGuy911/status/1875528805315695093,https://x.com/RationalGuy911/status/1875884392171872523
hxxps://maybankf2u[.]com/my,250103 14:15,250103 22:09,Fake BTS,Maybank Rewards,66628,n/a,https://x.com/nnnuuns/status/1875182698471588210,n/a
hxxps://aecimbclicks[.]bcns[.]ai/my,250101 10:42,250103 10:35,Fake BTS,CIMB Rewards,68833,n/a,https://x.com/n_puspanathan/status/1875007968347050370,n/a
hxxps://cvcimbclicks[.]bcns[.]ai/my,250102 18:57,250102 19:00,n/a,CIMB Rewards,n/a,n/a,https://x.com/machaofkl/status/1874772740345073915,n/a
hxxps://maybankl2u[.]com/myb,250102 11:02,250102 13:49,n/a,Maybank Rewards,n/a,n/a,https://x.com/zainiezainuddin/status/1874694505594847506,n/a
hxxps://maybankc2u[.]com/myb,241231 17:55,241231 17:59,n/a,Maybank Rewards,n/a,n/a,https://x.com/mr_napie/status/1874032626023243981,n/a
hxxps://cimjrntbclicks[.]top/my,241230 16:46,241230 17:35,Fake BTS,CIMB Rewards,n/a,n/a,https://x.com/AsrilNorman/status/1873664253686923436,n/a
hxxps://cimbclick[.]top/rewards/en,241230 16:01,241230 17:18,Fake BTS,CIMB Rewards,n/a,n/a,https://x.com/shahril_yey/status/1873659813454066151,n/a
hxxps://cimb-mylimit[.]vip/limit,241230 12:16,241230 13:44,Fake BTS,CIMB Rewards,n/a,n/a,https://x.com/myhyazid/status/1873606116216811680,n/a
hxxps://cimblcliciks[.]com/my,n/a,241228 18:47,Fake BTS,CIMB Rewards,n/a,n/a,https://x.com/fruhrzf/status/1872957605808881940,n/a
hxxps://acimbclilx[.]link/my,241227 13:36,241227 15:16,Fake BTS,CIMB Rewards,n/a,n/a,https://x.com/SHLee76129543/status/1872542010181390656,n/a
hxxps://jtexpers[.]top/i,241227 11:43,241227 15:16,Fake BTS,Parcel,n/a,n/a,https://x.com/SHLee76129543/status/1872542010181390656,n/a
hxxps://cisembhcmclicks[.]top/my,241226 13:56,241226 13:56,Fake BTS,CIMB Rewards,n/a,n/a,,
hxxps://senarikanbantuanewalet[.]myr-in[.]com/ap/,n/a,241225 18:49,Telegram Phishing,Bantuan ewallet,n/a,"const telegramBotToken1 = '8149528199:AAGLCat3RMcbfyIoXYRrVv2BmzjsChoZON4';
const bot1ChatId = '7403153449';",https://urlscan.io/result/12465b49-0737-4122-bad2-97b0bb223e1e/,https://urlscan.io/result/12465b49-0737-4122-bad2-97b0bb223e1e/
hxxps://p0rtal-ebantuantunai2025[.]my[.]id/,n/a,241225 14:47,Telegram Phishing,Bantuan ewallet,n/a,"const telegramBotToken1 = '7622599578:AAFspLQ6Q-21786C4wmE3lDcnvWznE6HFQY';
const bot1ChatId = '6963624372';",https://urlscan.io/result/b3b41ca7-10cf-4d35-b1de-270f54e41600/,https://urlscan.io/result/b3b41ca7-10cf-4d35-b1de-270f54e41600/
hxxps://bantuantunai[.]info-myl[.]com/myk/,n/a,241225 13:54,Telegram Phishing,Bantuan ewallet,n/a,"const telegramBotToken1 = '7737583012:AAEIUW9eDzTHNG0G-XiCNKGUVz2-Eno0ngY';
const bot1ChatId = '7650224687';",https://urlscan.io/result/3fac2842-2049-4de9-8995-e6bd48ec2b5b,https://urlscan.io/result/3fac2842-2049-4de9-8995-e6bd48ec2b5b
